Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.05, 0.04, 0.04,97.3%, 90.9%, 93.5%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.20, 1.20, 1.20, 100.0%, 99.9%, 99.9%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085672 Government Buildings and Administrative Infrastructure, 0.20, 0.20, 0.20, 100.0%, 99.6%, 99.6%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation, 0.60, 0.60, 0.60, 100.0%,100.0%,100.0%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.40, 0.40, 0.40, 100.0%, 99.8%, 99.8%
Hoima Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 4.62, 4.51, 4.46,97.7%, 96.5%, 98.8%
Hoima Referral Hospital,GoU Expenditure by Item,Output Class:, 0.00,0.00,0.06, N/A, N/A, N/A
Hoima Referral Hospital,GoU Expenditure by Item,"212,10",0.00,0.00,0.06, N/A, N/A, N/A
Hoima Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,3.42,3.31,3.20, 96.8%, 93.5%, 96.6%
Hoima Referral Hospital,GoU Expenditure by Item,211101 General Staff Salaries, 2.46,2.29,2.29, 93.3%,93.2%,99.8%
Hoima Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.06,0.06,0.06, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.06,0.00,N/A, N/A, 0.0%
Hoima Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.00,0.00,0.00, 100.6%,100.6%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.01,0.01,0.01, 100.0%, 97.1%,97.1%
Hoima Referral Hospital,GoU Expenditure by Item,221006  Commissions and related charges,0.01,0.01,0.01, 100.0%, 99.6%,99.6%
Hoima Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%, 87.8%,87.8%
Hoima Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.03,0.03,0.02, 100.0%, 88.1%,88.1%
Hoima Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.07,0.07,0.07, 100.0%, 94.0%,94.0%
Hoima Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.04,0.04,0.04, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.01,0.01,0.00, 100.0%, 84.5%,84.5%
Hoima Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00,99.9%, 80.9%,81.0%
Hoima Referral Hospital,GoU Expenditure by Item,221017  Subscriptions,0.00,0.00,0.00,97.9%, 97.9%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.02,0.02,0.02, 100.0%, 93.7%,93.7%
Hoima Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.08,0.08,0.06, 100.0%, 75.0%,75.0%
Hoima Referral Hospital,GoU Expenditure by Item,223006  Water,0.06,0.06,0.06,99.2%, 99.2%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.03,0.03,0.02, 100.0%, 78.3%,78.3%
Hoima Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.08,0.08,0.08, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.08,0.08,0.08,97.2%, 97.2%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,227002  Travel abroad,0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Hoima Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.16,0.15,0.15,98.1%, 98.1%, 100.0%
Hoima Referral Hospital,Highlights of Vote Performance,228001 Maintenance - Civil,0.04,0.04,0.04,95.8%,90.1%,94.0%
Hoima Referral Hospital,Highlights of Vote Performance,228002 Maintenance - Vehicles, 0.05,0.05,0.04, 102.2%,92.1%,90.1%
Hoima Referral Hospital,Highlights of Vote Performance,"228003 Maintenance � Machinery, Equipment & Furniture", 0.08,0.09,0.08, 100.7%,95.2%,94.5%
Hoima Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 1.20,1.20,1.20, 100.0%,99.9%,99.9%
Hoima Referral Hospital,Highlights of Vote Performance,231001 Non Residential buildings (Depreciation), 0.60,0.60,0.60, 100.0%,100.0%,100.0%
Hoima Referral Hospital,Highlights of Vote Performance,231002 Residential buildings (Depreciation), 0.40,0.40,0.40, 100.0%, 99.8%, 99.8%
Hoima Referral Hospital,Highlights of Vote Performance,231007 Other Fixed Assets (Depreciation),0.20,0.20,0.20, 100.0%, 99.6%, 99.6%
Hoima Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.00,0.00,0.00, 100.1%,25.0%,25.0%
Hoima Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.00,0.00,0.00, 100.1%,25.0%,25.0%
Hoima Referral Hospital,Highlights of Vote Performance,Grand Total:,4.62,4.52,4.46, 97.7%, 96.5%,98.8%
Hoima Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.62,4.51,4.46, 97.7%, 96.5%,98.8%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.62, 4.51, 4.46,97.7%, 96.5%,98.8%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Hoima Referral Hospital Services, 3.30, 3.19, 3.14,96.8%, 95.3%,98.4%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Hoima Referral Hospital Internal Audit, 0.01, 0.01, 0.01,68.2%, 68.2%, 100.0%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Hoima Regional Maintenance, 0.11, 0.11, 0.11,99.3%, 99.3%, 100.0%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Hoima Rehabilitation Referral Hospital, 1.20, 1.20, 1.20, 100.0%, 99.9%,99.9%
Hoima Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.62,4.51,4.46,97.7%, 96.5%,98.8%
Jinja Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,5.86, 5.90, 5.61,100.5%,95.7%, 95.2%
Jinja Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,5.86, 5.90, 5.61,100.5%,95.7%, 95.2%
Jinja Referral Hospital,Highlights of Vote Performance,VF:0856 Regional Referral Hospital Services,5.57, 5.67, 5.38, 101.6%, 96.5%, 95.0%
Jinja Referral Hospital,Highlights of Vote Performance,Class: Outputs Provided,4.57, 4.67, 4.67, 102.0%,102.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085601 Inpatient services,4.02, 4.11, 4.11, 102.3%,102.3%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085602 Outpatient services, 0.15, 0.15, 0.15, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085604 Diagnostic services, 0.09, 0.09, 0.09, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085605 Hospital Management and support services,0.26, 0.26, 0.26, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085606 Prevention and rehabilitation services,0.03, 0.03, 0.03, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085607 Immunisation Services, 0.03, 0.03, 0.03, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,Class: Capital Purchases, 1.00, 1.00, 0.72, 100.0%, 71.6%, 71.6%
Jinja Referral Hospital,Highlights of Vote Performance,085677 Purchase of Specialised Machinery & Equipment, 0.04, 0.04, 0.03, 100.0%, 72.7%, 72.7%
Jinja Referral Hospital,Highlights of Vote Performance,085680 Hospital Construction/rehabilitation,0.04, 0.04, 0.01, 100.0%, 30.0%, 30.0%
Jinja Referral Hospital,Highlights of Vote Performance,085681 Staff houses construction and rehabilitation,0.17, 0.17, 0.17, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,085682 Maternity ward construction and rehabilitation,0.31, 0.31, 0.26, 100.0%, 81.4%, 81.4%
Jinja Referral Hospital,Highlights of Vote Performance,085683 OPD and other ward construction and rehabilitation,0.43, 0.43, 0.24, 100.0%, 56.8%, 56.8%
Jinja Referral Hospital,Highlights of Vote Performance, Total For Vote,5.57, 5.67, 5.38, 101.6%, 96.5%, 95.0%
Jinja Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,4.57,4.67, 4.67, 102.0%,102.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,211101 General Staff Salaries, 3.62,3.66, 3.66, 101.3%,101.3%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,211103 Allowances, 0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.04, 0.04,N/A, N/A, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"221005  Hire of Venue (chairs, projector, etc)", 0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.04,0.04, 0.04, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.06,0.06, 0.06, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.02,0.02, 0.02, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,222003  Information and communications technology (ICT),0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.16,0.16, 0.16, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,223006  Water,0.29,0.29, 0.29, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.04,0.04, 0.04, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.12,0.12, 0.12, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.05,0.05, 0.05, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"227003  Carriage, Haulage, Freight and transport hire",0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.07,0.07, 0.07, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,228001  Maintenance - Civil,0.01,0.01, 0.01, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,228002  Maintenance - Vehicles, 0.02,0.02, 0.02, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,"228003  Maintenance � Machinery, Equipment & Furniture", 0.02,0.02, 0.02, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,228004  Maintenance � Other,0.00,0.00, 0.00, 100.0%,100.0%, 100.0%
Jinja Referral Hospital,GoU Expenditure by Item,Output Class: Capital Purchases, 1.00,1.00, 0.72, 100.0%,71.6%, 71.6%
Jinja Referral Hospital,Highlights of Vote Performance,231001 Non Residential buildings (Depreciation), 0.78,0.78,0.51, 100.0%, 65.3%, 65.3%
Jinja Referral Hospital,Highlights of Vote Performance,231002 Residential buildings (Depreciation), 0.17,0.17,0.17, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,231005 Machinery and equipment,0.04,0.04,0.03, 100.0%, 72.7%, 72.7%
Jinja Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.44,0.44,0.44, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,321612 Water arrears(Budgeting), 0.44,0.44,0.44, 100.0%,100.0%,100.0%
Jinja Referral Hospital,Highlights of Vote Performance,Grand Total:,6.02,6.11,5.82, 101.5%,96.8%,95.3%
Jinja Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,5.57,5.67,5.38, 101.6%,96.5%,95.0%
Jinja Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 5.57, 5.67, 5.38, 101.6%, 96.5%,95.0%
Jinja Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Jinja Referral Hospital Services, 4.56, 4.65, 4.65, 102.0%,102.0%, 100.0%
Jinja Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Jinja Referral Hospital Internal Audit, 0.02, 0.02, 0.02,90.3%, 90.3%, 100.0%
Jinja Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Jinja Rehabilitation Referral Hospital, 1.00, 1.00, 0.72, 100.0%, 71.6%,71.6%
Jinja Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 5.57,5.67,5.38, 101.6%, 96.5%,95.0%
Kabale Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,4.58, 4.36, 4.27, 95.2%, 93.2%,97.9%
Kabale Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,4.58, 4.36, 4.27, 95.2%, 93.2%,97.9%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services,4.38, 4.29, 4.24,97.9%, 96.8%, 98.8%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided,3.68, 3.51, 3.47,95.6%, 94.3%, 98.7%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services,2.70, 2.55, 2.54,94.2%, 93.8%, 99.5%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services, 0.13, 0.13, 0.13, 101.1%,100.9%, 99.8%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed,0.01, 0.01, 0.01,94.0%, 94.0%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services, 0.04, 0.05, 0.05, 104.0%,104.0%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services,0.64, 0.62, 0.59,97.6%, 92.4%, 94.6%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services,0.11, 0.12, 0.12, 103.7%,103.7%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services, 0.04, 0.04, 0.04, 102.2%,102.2%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases, 0.70, 0.77, 0.77, 110.1%,109.6%, 99.5%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,"085676 Purchase of Office and ICT Equipment, including Software",0.06, 0.07, 0.07, 114.1%,114.1%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085677 Purchase of Specialised Machinery & Equipment, 0.30, 0.30, 0.30, 100.0%, 98.7%, 98.7%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085678 Purchase of Office and Residential Furniture and Fittings, 0.08, 0.10, 0.10, 125.0%,125.0%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation,0.26, 0.30, 0.30, 116.2%,116.2%,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output,085699 Arrears, 0.00, 0.00, 0.00,N/A, N/A,100.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote,4.38, 4.29, 4.24,97.9%, 96.8%, 98.8%
Kabale Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided, 3.68,3.52,3.47, 95.6%, 94.3%, 98.7%
Kabale Referral Hospital,GoU Expenditure by Item,211101 General Staff Salaries,2.39,2.22,2.22,93.2%, 93.0%,99.7%
Kabale Referral Hospital,GoU Expenditure by Item,211103  Allowances,0.11,0.12,0.12, 103.4%,103.4%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees), 0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses", 0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations,0.01,0.00,0.00,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars,0.03,0.03,0.03,95.1%, 95.1%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221003  Staff Training,0.02,0.02,0.02,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers", 0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT,0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment, 0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks,0.15,0.16,0.15, 100.7%, 96.8%,96.1%
Kabale Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding",0.03,0.03,0.03,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment,0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs, 0.01,0.01,0.00,99.9%, 95.1%,95.2%
Kabale Referral Hospital,GoU Expenditure by Item,222001  Telecommunications,0.01,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier, 0.00,0.00,0.00,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223001  Property Expenses, 0.00,0.00,0.00, 100.1%,100.1%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223003  Rent � (Produced Assets) to private entities,0.00,0.00,0.00,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223005  Electricity, 0.11,0.11,0.11, 105.4%,105.4%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223006  Water, 0.04,0.04,0.04, 100.1%,100.1%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)",0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,223901  Rent � (Produced Assets) to other govt. units, 0.00,0.00,0.00,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation, 0.04,0.04,0.04,92.6%, 92.6%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear",0.02,0.01,0.01,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term,0.03,0.03,0.03,99.9%, 99.9%, 100.0%
Kabale Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.10,0.10,0.08,99.9%, 77.3%, 77.3%
Kabale Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.18,0.18,0.18,99.9%, 99.9%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.02,0.02,0.02,99.9%, 99.9%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.11,0.11,0.11,99.9%, 99.9%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.21,0.21,0.20,97.0%, 92.3%, 95.2%
Kabale Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 0.70,0.77,0.77, 110.1%,109.5%, 99.5%
Kabale Referral Hospital,Highlights of Vote Performance,231005 Machinery and equipment,0.36,0.37,0.37, 102.5%,101.4%, 98.9%
Kabale Referral Hospital,Highlights of Vote Performance,231006 Furniture and fittings (Depreciation),0.08,0.10,0.10, 125.0%,125.0%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,231007 Other Fixed Assets (Depreciation),0.26,0.30,0.30, 116.2%,116.2%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.00,0.00,0.00, 100.0%,100.0%,100.0%
Kabale Referral Hospital,Highlights of Vote Performance,Grand Total:,4.38,4.29,4.24, 97.9%, 96.8%,98.8%
Kabale Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.38,4.29,4.24, 97.9%, 96.8%,98.8%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.38, 4.29, 4.24,97.9%, 96.8%,98.8%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Kabale Referral Hospital Services,3.25, 3.09, 3.08,95.3%, 94.9%,99.6%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Kabale Referral Hospital Internal Audit,0.01, 0.00, 0.00,99.9%, 74.9%,75.0%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Kabale Regional Maintenance Workshop, 0.43, 0.42, 0.38,97.8%, 90.2%,92.3%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Kabale Regional Hospital Rehabilitaion, 0.70, 0.77, 0.77, 110.1%,109.5%,99.5%
Kabale Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.38,4.29,4.24,97.9%, 96.8%,98.8%
Masaka Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,5.13, 5.04, 5.01, 98.2%, 97.7%,99.4%
Masaka Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,5.13, 5.04, 5.01, 98.2%, 97.7%,99.4%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 4.74, 4.69, 4.66,98.9%, 98.3%, 99.4%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 3.64, 3.59, 3.56,98.5%, 97.8%, 99.3%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 2.96, 2.91, 2.88,98.5%, 97.3%, 98.8%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.19, 0.19, 0.19,98.6%,100.1%,101.5%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.05, 0.05, 0.05, 100.7%,104.6%,103.9%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.10, 0.10, 0.10,98.2%,100.8%,102.7%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 0.26, 0.26, 0.26,98.7%, 98.6%,100.0%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.08, 0.08, 0.08, 100.0%,101.0%,101.0%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.00, 0.00, 0.00, 100.0%,100.0%,100.0%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.10, 1.10, 1.10, 100.0%, 99.9%, 99.9%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation, 0.22, 0.22, 0.22, 100.0%, 99.8%, 99.8%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.30, 0.30, 0.30, 100.0%, 99.9%, 99.9%
Masaka Referral Hospital,GoU Releases and Expenditure by Output,085682 Maternity ward construction and rehabilitation, 0.58, 0.58, 0.58, 100.0%,100.0%,100.0%
Masaka Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 4.74, 4.69, 4.66,98.9%, 98.3%, 99.4%
Masaka Referral Hospital,GoU Expenditure by Item,Output Class:, 0.00,0.00,0.00, N/A, N/A,0.0%
Masaka Referral Hospital,GoU Expenditure by Item,222014,0.00,0.00,0.00, N/A, N/A,0.0%
